service_id,date,exception_type
501,20260727,1
6701,20260727,1
4401,20260727,1
501,20260728,1
6701,20260728,1
4501,20260728,1
7001,20260728,1
501,20260729,1
6701,20260729,1
4401,20260729,1
7001,20260729,1
501,20260730,1
6701,20260730,1
4401,20260730,1
7001,20260730,1
501,20260731,1
6701,20260731,1
4501,20260731,1
4,20260803,1
1,20260803,2
501,20260804,1
6701,20260804,1
4501,20260804,1
7001,20260804,1
501,20260805,1
6701,20260805,1
4401,20260805,1
7001,20260805,1
501,20260806,1
6701,20260806,1
4401,20260806,1
7001,20260806,1
501,20260807,1
6701,20260807,1
4501,20260807,1
501,20260810,1
6701,20260810,1
4401,20260810,1
501,20260811,1
6701,20260811,1
4501,20260811,1
7001,20260811,1
501,20260812,1
6701,20260812,1
4401,20260812,1
7001,20260812,1
501,20260813,1
6701,20260813,1
4401,20260813,1
7001,20260813,1
501,20260814,1
6701,20260814,1
4501,20260814,1
501,20260817,1
6701,20260817,1
4401,20260817,1
501,20260818,1
6701,20260818,1
4501,20260818,1
7001,20260818,1
501,20260819,1
6701,20260819,1
4401,20260819,1
7001,20260819,1
501,20260820,1
6701,20260820,1
4401,20260820,1
7001,20260820,1
501,20260821,1
6701,20260821,1
4501,20260821,1
501,20260824,1
6701,20260824,1
4401,20260824,1
501,20260825,1
6701,20260825,1
4501,20260825,1
7001,20260825,1
501,20260826,1
6701,20260826,1
4401,20260826,1
7001,20260826,1
501,20260827,1
6701,20260827,1
4401,20260827,1
7001,20260827,1
501,20260828,1
6701,20260828,1
4501,20260828,1
501,20260831,1
6701,20260831,1
4401,20260831,1
501,20260901,1
6701,20260901,1
4501,20260901,1
7001,20260901,1
501,20260902,1
6701,20260902,1
4401,20260902,1
7001,20260902,1
501,20260903,1
6701,20260903,1
4401,20260903,1
7001,20260903,1
501,20260904,1
6701,20260904,1
4501,20260904,1
